episode,global_step,score,episode_reward,steps,mean_loss,moving_average
1,112,0,-21.09,112,0.0,0.0
2,187,0,-20.98,75,0.0,0.0
3,302,0,-21.380000000000003,115,0.0,0.0
4,393,0,-21.060000000000002,91,0.0,0.0
5,495,0,-21.07,102,0.0,0.0
6,526,0,-20.42,31,0.0,0.0
7,572,0,-20.55,46,0.0,0.0
8,672,0,-21.21,100,0.0,0.0
9,809,0,-21.400000000000002,137,0.0,0.0
10,972,0,-21.78,163,0.0,0.0
11,1096,0,-21.29,124,3.1192054653167727,0.0
12,1211,0,-21.22,115,2.9291506750243053,0.0
13,1331,2,-1.0700000000000003,120,3.2877944469451905,0.15384615384615385
14,1437,0,-21.23,106,3.597474151187473,0.14285714285714285
15,1478,0,-20.52,41,3.737159085273743,0.13333333333333333
16,1500,0,-20.23,22,3.5611296892166138,0.125
17,1514,0,-20.11,14,3.776512066523234,0.11764705882352941
18,1559,0,-20.4,45,3.758417346260764,0.1111111111111111
19,1633,0,-20.87,74,3.728738132276033,0.10526315789473684
20,1652,0,-20.26,19,3.677915620803833,0.1
21,1668,0,-20.29,16,3.697241485118866,0.09523809523809523
22,1677,0,-20.24,9,3.6732479333877563,0.09090909090909091
23,1697,0,-20.01,20,3.6686241149902346,0.08695652173913043
24,2697,0,-9.960000000000054,1000,3.4377328720092772,0.08333333333333333
25,3697,0,-10.000000000000053,1000,3.30563542842865,0.08
26,4697,0,-10.04000000000005,1000,3.3147604064941407,0.07692307692307693
27,5697,1,0.10999999999994454,1000,3.3083521900177,0.1111111111111111
28,5916,2,-2.2399999999999665,219,3.4431283604015004,0.17857142857142858
29,6916,0,-9.960000000000054,1000,3.3034614248275758,0.1724137931034483
30,7916,0,-10.04000000000005,1000,3.331476837158203,0.16666666666666666
31,8916,0,-10.040000000000052,1000,3.2872842102050783,0.16129032258064516
32,9916,0,-10.000000000000052,1000,3.3650011672973634,0.15625
33,10916,0,-10.000000000000052,1000,3.3395865783691407,0.15151515151515152
34,11916,0,-10.040000000000052,1000,3.3231121377944945,0.14705882352941177
35,12916,0,-10.040000000000052,1000,3.2984478816986083,0.14285714285714285
36,13916,0,-10.000000000000052,1000,3.3038771848678588,0.1388888888888889
37,14916,0,-10.000000000000052,1000,3.2456101551055907,0.13513513513513514
38,15916,0,-10.000000000000052,1000,3.3018855962753295,0.13157894736842105
39,16916,1,-0.0500000000000585,1000,3.300714925765991,0.15384615384615385
40,17916,0,-10.000000000000055,1000,3.282260694503784,0.15
41,18916,2,10.260000000000211,1000,3.270439124107361,0.1951219512195122
42,19916,0,-10.08000000000005,1000,3.217851487159729,0.19047619047619047
43,20916,0,-10.000000000000052,1000,3.194439799308777,0.18604651162790697
44,21916,1,0.2299999999999263,1000,3.1702225790023806,0.20454545454545456
45,22916,1,0.149999999999949,1000,3.1260056228637696,0.2222222222222222
46,23916,0,-10.000000000000053,1000,3.125920189857483,0.21739130434782608
47,24916,3,20.45000000000022,1000,3.110309865951538,0.2765957446808511
48,25916,2,10.179999999999989,1000,3.0699050483703614,0.3125
49,26916,0,-10.040000000000052,1000,3.042588165283203,0.30612244897959184
50,27916,0,-9.960000000000056,1000,3.0204773397445677,0.3
51,28916,0,-9.960000000000054,1000,2.990350546836853,0.3
52,29916,1,0.22999999999994278,1000,3.0215579662323,0.32
53,30916,0,-10.040000000000054,1000,2.95907066822052,0.32
54,31916,0,-10.000000000000053,1000,2.9310824646949767,0.32
55,32916,0,-10.08000000000005,1000,2.8909052033424376,0.32
56,33916,0,-10.000000000000052,1000,2.85168412399292,0.32
57,34916,5,40.74999999999934,1000,2.8452352809906007,0.42
